"V1"
"""language"": ""afrikaans"","
"""subject"": ""agricultural management practices"","
"""grade"": ""Grade 12"","
"""paper"": ""agricultural management practices paper 1 15 Feb"","
"""Options"": [ ' (10 x 2)     (20) ', ' d    (i), (iii) en (ii) ', ' c    (ii), (iii) en (i) ', ' b    (iii), (ii) en (i) ', ],"
"""question"": ""1.1.10      prosesse in die aanbodketting is:(i) verkope(ii) verspreiding(iii) produseringkies die mees toepaslike volgorde vir die prosesse in dieaanbodketting hierbo:a    (i), (ii) en (iii)"","
"""paper"": ""agricultural management practices paper 1 15 Feb"","
"""language"": ""afrikaans"","
"""subject"": ""agricultural management practices"","
"""grade"": ""Grade 12"","
"""Options"": [ ' d    beplanning ', ' c    monitering ', ' b    koördinering ', ' a    kommunikasie ', ],"
"""question"": ""1.1.9       'n bestuuraspek wat die uitkomste meet deur jou plan in werking testel:"","
"""paper"": ""agricultural management practices paper 1 15 Feb"","
"""language"": ""afrikaans"","
"""subject"": ""agricultural management practices"","
"""grade"": ""Grade 12"","
"""Options"": [ ' d    makelaars ', ' c    uitvoerders en invoerders ', ' b    voedselverwerkingsmaatskappye ', ' a    kleinhandelaars ', ],"
"""question"": ""1.1.8       ondernemings wat landboukundige grondstowwe gebruik omvoedselprodukte te vervaardig:"","
"""paper"": ""agricultural management practices paper 1 15 Feb"","
"""language"": ""afrikaans"","
"""subject"": ""agricultural management practices"","
"""grade"": ""Grade 12"","
"""Options"": [ ' d    sedimentasie ', ' c    verbrakking ', ' b    malaria ', ' a    miv/vigs ', ],"
"""question"": ""1.1.7       'n bedreiging vir elke boerderyonderneming:"","
"""paper"": ""agricultural management practices paper 1 15 Feb"","
"""language"": ""afrikaans"","
"""subject"": ""agricultural management practices"","
"""grade"": ""Grade 12"","
"""Options"": [ ' d    begroting ', ' c    deposito ', ' b    onttrekking ', ' a    lening ', ],"
"""question"": ""1.1.6       die inbetaal van geld in jou bankrekening word 'n … genoem."","
"""paper"": ""agricultural management practices paper 1 15 Feb"","
"""language"": ""afrikaans"","
"""subject"": ""agricultural management practices"","
"""grade"": ""Grade 12"","
"""Options"": [ ' d    kwartaallikse lening ', ' c    langtermynlening ', ' b    mediumtermynlening ', ' a    korttermynlening ', ],"
"""question"": ""1.1.5       hierdie tipe lening word vir belegging in vaste bates gegee:"","
"""paper"": ""agricultural management practices paper 1 15 Feb"","
"""language"": ""afrikaans"","
"""subject"": ""agricultural management practices"","
"""grade"": ""Grade 12"","
"""Options"": [ ' d       (i), (ii) en (iv) ', ' c       (i), (iii) en (iv) ', ' b       (i) en (ii) ', ' a       (i), (ii) en (iii) ', ],"
"""question"": ""1.1.4       ekonomiese boerderybeplanning wat jou inligting gee oor jou plaasse likiditeit:(i)      kontantvloei(ii)     inkomstestaat(iii)    fisiese data(iv)     proefbalanskies die mees toepaslike kombinasie vir die beskrywing hierbo:"","
"""paper"": ""agricultural management practices paper 1 15 Feb"","
"""language"": ""afrikaans"","
"""subject"": ""agricultural management practices"","
"""grade"": ""Grade 12"","
"""Options"": [ ' d       operdploeg ', ' c       eg ', ' b       ploeg ', ' a       planter ', ],"
"""question"": ""1.1.3       'n implement wat gebruik word om 'n voortjie te maak en dan saaden kunsmis teen 'n beheerde tempo in die voortjie te plaas:"","
"""paper"": ""agricultural management practices paper 1 15 Feb"","
"""language"": ""afrikaans"","
"""subject"": ""agricultural management practices"","
"""grade"": ""Grade 12"","
"""Options"": [ ' d       grond ', ' c       arbeid ', ' b       kapitaal ', ' a       klimaat ', ],"
"""question"": ""1.1.2       menslike energie benodig om primêre landbouproduksie teverseker:"","
"""paper"": ""agricultural management practices paper 1 15 Feb"","
"""language"": ""afrikaans"","
"""subject"": ""agricultural management practices"","
"""grade"": ""Grade 12"","
"""Options"": [ ' d       beplanning ', ' c       biotiese faktore ', ' b       klimaat ', ' a       grondwater ', ],"
"""question"": ""1.1.1       die dominante faktor wat bepaal of 'n streek geskik sal wees vir dieverbouing van 'n spesifieke gewas:"","
"""paper"": ""agricultural management practices paper 1 15 Feb"","
"""language"": ""afrikaans"","
"""subject"": ""agricultural management practices"","
"""grade"": ""Grade 12"","
"""language"": ""english"","
"""subject"": ""agricultural management practices"","
"""grade"": ""Grade 12"","
